MUESTRA;H;Al2O3;SiO2;P2O5;SO3;K2O;CaO;TiO2;MnO;Fe2O3
IT-036;194.70;30.06;66.22;0.12;0.56;1.35;0.69;0.60;0.00;0.30
IT-035;191.70;25.38;70.50;0.17;0.65;0.98;0.53;0.52;0.01;0.79
IT-034;172.90;27.46;69.01;0.11;0.69;1.08;0.61;0.52;0.00;0.40
IT-033;168.00;28.70;65.05;0.12;2.83;1.15;0.68;0.56;0.01;0.44
IT-032;165.00;25.10;70.73;0.11;0.71;1.00;0.64;0.57;0.01;0.60
IT-031;159.40;30.70;64.43;0.19;0.85;1.14;0.64;0.52;0.01;1.08
IT-030;153.10;30.07;64.78;0.12;2.30;1.05;0.63;0.52;0.01;0.41
IT-029;150.00;30.37;62.62;0.25;3.16;1.05;0.62;0.53;0.01;1.29
IT-029;148.10;30.37;62.62;0.25;3.16;1.05;0.62;0.53;0.01;1.29
IT-027;148.00;30.06;63.25;0.12;3.13;1.07;0.71;0.53;0.01;1.02
IT-027;147.50;30.06;63.25;0.12;3.13;1.07;0.71;0.53;0.01;1.02
IT-028;147.00;30.36;62.92;0.12;3.09;1.10;0.67;0.56;0.01;1.06
IT-028;145.50;30.36;62.92;0.12;3.09;1.10;0.67;0.56;0.01;1.06
IT-025;142.51;23.02;69.30;0.58;0.67;0.11;0.67;0.51;0.03;4.93
IT-024;141.00;0.00;86.31;0.42;7.16;0.65;1.16;0.82;0.00;3.20
IT-023;139.50;22.96;44.06;0.00;3.62;1.94;25.11;0.34;0.18;1.30
IT-026;139.00;30.21;63.40;0.15;2.81;1.04;0.65;0.51;0.01;1.12
IT-026;136.60;30.21;63.40;0.15;2.81;1.04;0.65;0.51;0.01;1.12
IT-022;136.50;25.80;57.95;0.16;2.67;1.66;9.60;0.44;0.06;1.04
IT-021;135.00;21.54;44.83;0.01;13.31;1.80;14.10;0.35;0.08;1.30
IT-020;132.50;21.14;55.62;0.17;2.22;0.44;8.02;0.35;0.10;4.46
IT-019;130.10;28.51;63.77;0.11;2.34;2.48;1.18;0.99;0.01;0.39
IT-018;129.10;22.64;74.48;0.14;0.77;0.44;0.62;0.55;0.01;0.19
IT-017;127.00;19.74;75.07;0.14;0.67;2.28;0.71;0.51;0.01;0.40
IT-016;125.00;22.71;71.18;0.23;0.53;2.54;0.93;0.78;0.01;0.50
IT-015;121.60;22.23;71.94;0.15;0.61;2.52;0.78;0.62;0.01;0.59
IT-014;118.60;20.08;75.24;0.13;0.61;1.26;0.59;0.48;0.01;1.48
IT-013;115.50;23.64;71.64;0.14;0.58;1.84;0.92;0.74;0.01;0.31
IT-012a;113.50;26.47;66.41;0.13;0.65;1.47;0.87;0.80;0.02;2.66
IT-012;111.00;27.62;68.02;0.11;0.52;1.57;0.74;0.65;0.01;0.28
IT-011e;109.50;22.12;73.99;0.15;0.63;1.20;0.68;0.58;0.00;0.49
IT-011d;106.50;22.70;73.44;0.36;0.47;1.29;0.58;0.49;0.01;0.52
IT-011c;100.90;26.08;68.99;0.19;0.50;1.47;0.93;0.84;0.01;0.46
IT-011b-4;99.00;27.55;68.01;0.18;0.58;1.58;0.76;0.65;0.01;0.43
IT-011b-3;96.20;0.00;94.81;0.17;0.81;1.89;0.91;0.80;0.01;0.35
IT-011b-2;93.50;25.03;69.95;0.13;0.36;1.75;1.04;0.91;0.02;0.61
IT-011b-1;91.70;24.53;67.98;0.24;0.83;1.31;0.63;0.55;0.02;3.75
IT-011b;89.80;25.76;70.18;0.15;0.54;1.31;0.78;0.75;0.01;0.31
IT-011a;84.50;25.67;69.00;0.15;0.58;1.33;0.73;0.64;0.01;1.34
IT-011;81.00;22.48;73.23;0.15;0.49;1.14;0.80;0.71;0.01;0.45
IT-010b;79.90;22.65;72.82;0.21;0.61;1.02;0.59;0.50;0.01;1.46
IT-010a;75.00;17.74;78.85;0.16;0.54;0.88;0.53;0.51;0.01;0.24
IT-010;72.00;27.56;67.37;0.16;0.57;1.31;0.88;0.82;0.01;0.71
IT-009d;69.75;28.64;66.78;0.17;0.49;1.65;0.88;0.79;0.01;0.35
IT-009c;66.00;26.53;69.47;0.12;0.53;1.18;0.72;0.65;0.01;0.28
IT-009b;61.70;22.93;68.28;0.91;0.58;1.64;0.68;0.36;0.03;3.86
IT-009a;60.00;29.88;64.86;0.14;0.67;1.99;0.87;0.71;0.01;0.73
IT-009;58.50;13.97;81.22;0.30;0.81;0.99;0.35;0.26;0.03;1.92
IT-008b;40.50;27.61;67.81;0.18;0.52;1.42;0.71;0.62;0.01;0.58
IT-008a;37.30;24.76;70.52;0.15;0.58;1.52;0.72;0.61;0.01;0.98
IT-008;36.00;19.11;77.36;0.13;0.66;1.43;0.50;0.40;0.00;0.32
IT-007h;34.00;0.00;94.45;0.19;0.77;1.62;0.53;0.38;0.01;1.96
IT-007g;30.40;27.40;69.05;0.12;0.53;1.70;0.00;0.70;0.00;0.35
IT-007f;28.50;26.23;69.23;0.14;0.61;1.80;0.49;0.35;0.01;1.00
IT-007e;26.30;30.52;64.70;0.08;0.58;1.77;0.87;0.73;0.01;0.58
IT-007d;25.00;31.89;47.38;0.00;1.10;1.07;9.26;0.40;0.14;8.68
IT-007c;23.40;27.47;62.46;0.24;4.47;1.68;0.85;0.73;0.02;1.91
IT-007b;21.30;28.74;57.88;0.13;4.28;1.18;0.92;0.47;0.06;6.24
IT-007a;19.80;22.35;66.59;0.21;4.46;1.57;0.89;0.73;0.02;3.01
IT-007;18.75;28.95;67.13;0.11;0.48;1.81;0.00;0.77;0.00;0.60
IT-006c;18.50;27.88;64.11;0.17;0.46;1.66;0.84;0.69;0.05;3.99
IT-006b;16.70;29.40;65.81;0.12;0.51;1.77;0.81;0.63;0.01;0.51
IT-006a;13.65;25.48;69.42;0.12;0.51;1.77;0.58;0.44;0.01;1.51
IT-006;12.75;25.82;70.02;0.10;0.46;1.71;0.77;0.64;0.01;0.35
IT-005c;10.35;29.65;61.94;0.20;0.55;1.80;0.80;0.68;0.03;4.13
IT-005b;9.75;26.25;68.17;0.13;0.45;1.77;0.86;0.71;0.00;1.51
IT-005a;7.70;31.00;63.64;0.13;0.46;2.01;0.94;0.75;0.00;0.91
IT-005;6.00;26.90;63.68;0.20;0.48;1.78;0.77;0.61;0.05;5.37
IT-004a;5.01;32.70;51.93;0.23;0.61;1.43;0.00;0.50;0.13;12.32
IT-004;5.00;31.24;59.98;0.11;0.54;2.00;0.92;0.74;0.05;4.26
IT-003;4.00;25.50;70.17;0.13;0.50;1.86;0.70;0.53;0.01;0.47
IT-002;2.00;33.34;60.13;0.13;0.60;1.51;0.50;0.43;0.04;3.11
IT-001;0.75;31.42;63.27;0.11;0.51;1.95;0.80;0.72;0.01;0.95
;;;;;;;;;;
